filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./exploits/task2-4.py,request_without_timeout,B113,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/400.html,Call to requests without timeout,18,23,40,[18],https://bandit.readthedocs.io/en/1.9.2/plugins/b113_request_without_timeout.html
./flaskshop/account/utils.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,159,19,39,[159],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/account/utils.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,Use of weak SHA1 hash for security. Consider usedforsecurity=False,226,15,53,[226],https://bandit.readthedocs.io/en/1.9.2/plugins/b324_hashlib.html
./flaskshop/commands.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,5,0,27,[5],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_imports.html#b404-import-subprocess
./flaskshop/commands.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True identified, security issue.",39,10,49,[39],https://bandit.readthedocs.io/en/1.9.2/plugins/b602_subprocess_popen_with_shell_equals_true.html
./flaskshop/commands.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,66,13,31,[66],https://bandit.readthedocs.io/en/1.9.2/plugins/b603_subprocess_without_shell_equals_true.html
./flaskshop/corelib/mc.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with UnpicklingError module.,3,0,34,[3],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_imports.html#b403-import-pickle
./flaskshop/corelib/utils.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,28,11,38,[28],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/discount/models.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,52,23,67,[52],https://bandit.readthedocs.io/en/1.9.2/blacklists/blacklist_calls.html#b311-random
./flaskshop/plugin/utils.py,markupsafe_markup_xss,B704,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Potential XSS with ``markupsafe.Markup`` detected. Do not use ``Markup`` on untrusted data.,38,15,29,[38],https://bandit.readthedocs.io/en/1.9.2/plugins/b704_markupsafe_markup_xss.html
